angle,x,y
-3.141593e+00,0.000000e+00,0.000000e+00
-3.078761e+00,0.000000e+00,0.000000e+00
-3.015929e+00,0.000000e+00,0.000000e+00
-2.953097e+00,0.000000e+00,0.000000e+00
-2.890265e+00,0.000000e+00,0.000000e+00
-2.827433e+00,0.000000e+00,0.000000e+00
-2.764602e+00,0.000000e+00,0.000000e+00
-2.701770e+00,0.000000e+00,0.000000e+00
-2.638938e+00,0.000000e+00,0.000000e+00
-2.576106e+00,0.000000e+00,0.000000e+00
-2.513274e+00,0.000000e+00,0.000000e+00
-2.450442e+00,0.000000e+00,0.000000e+00
-2.387610e+00,0.000000e+00,0.000000e+00
-2.324779e+00,-9.999390e-01,-1.342773e-03
-2.261947e+00,-9.979858e-01,-6.372070e-02
-2.199115e+00,-9.921265e-01,-1.248779e-01
-2.136283e+00,-9.824829e-01,-1.864624e-01
-2.073451e+00,-9.688721e-01,-2.474365e-01
-2.010619e+00,-9.504395e-01,-3.108521e-01
-1.947787e+00,-9.294434e-01,-3.688965e-01
-1.884956e+00,-9.047241e-01,-4.262085e-01
-1.822124e+00,-8.762817e-01,-4.818115e-01
-1.759292e+00,-8.445435e-01,-5.355835e-01
-1.696460e+00,-8.099976e-01,-5.863647e-01
-1.633628e+00,-7.693481e-01,-6.388550e-01
-1.570796e+00,-7.279053e-01,-6.856689e-01
-1.507964e+00,-6.856689e-01,-7.279053e-01
-1.445133e+00,-6.388550e-01,-7.693481e-01
-1.382301e+00,-5.863647e-01,-8.099976e-01
-1.319469e+00,-5.355835e-01,-8.445435e-01
-1.256637e+00,-4.818115e-01,-8.762817e-01
-1.193805e+00,-4.262085e-01,-9.047241e-01
-1.130973e+00,-3.688965e-01,-9.294434e-01
-1.068142e+00,-3.071899e-01,-9.515381e-01
-1.005310e+00,-2.474365e-01,-9.688721e-01
-9.424778e-01,-1.864624e-01,-9.824829e-01
-8.796459e-01,-1.248779e-01,-9.921265e-01
-8.168141e-01,-6.372070e-02,-9.979858e-01
-7.539822e-01,1.159668e-03,-9.999390e-01
-6.911504e-01,6.365967e-02,-9.979858e-01
-6.283185e-01,1.246948e-01,-9.921265e-01
-5.654867e-01,1.864014e-01,-9.824829e-01
-5.026548e-01,2.473755e-01,-9.688721e-01
-4.398230e-01,3.110352e-01,-9.504395e-01
-3.769911e-01,3.690796e-01,-9.294434e-01
-3.141593e-01,4.265137e-01,-9.047241e-01
-2.513274e-01,4.819946e-01,-8.762817e-01
-1.884956e-01,5.358887e-01,-8.445435e-01
-1.256637e-01,5.865479e-01,-8.099976e-01
-6.283185e-02,6.386108e-01,-7.693481e-01
1.804112e-15,6.854858e-01,-7.279053e-01
6.283185e-02,7.279663e-01,-6.856689e-01
1.256637e-01,7.695313e-01,-6.388550e-01
1.884956e-01,8.097534e-01,-5.864868e-01
2.513274e-01,8.442383e-01,-5.356445e-01
3.141593e-01,8.760986e-01,-4.818726e-01
3.769911e-01,9.045410e-01,-4.262695e-01
4.398230e-01,9.293823e-01,-3.689575e-01
5.026548e-01,9.502563e-01,-3.108521e-01
5.654867e-01,9.689331e-01,-2.474365e-01
6.283185e-01,9.825439e-01,-1.864624e-01
6.911504e-01,9.923096e-01,-1.248779e-01
7.539822e-01,9.980469e-01,-6.359863e-02
8.168141e-01,9.999390e-01,1.342773e-03
8.796459e-01,9.979858e-01,6.372070e-02
9.424778e-01,9.921265e-01,1.248779e-01
1.005310e+00,9.824829e-01,1.864624e-01
1.068142e+00,9.688721e-01,2.474365e-01
1.130973e+00,9.504395e-01,3.108521e-01
1.193805e+00,9.294434e-01,3.688965e-01
1.256637e+00,9.047241e-01,4.262085e-01
1.319469e+00,8.762817e-01,4.818115e-01
1.382301e+00,8.445435e-01,5.355835e-01
1.445133e+00,8.099976e-01,5.863647e-01
1.507964e+00,7.693481e-01,6.388550e-01
1.570796e+00,7.279053e-01,6.856689e-01
1.633628e+00,6.856689e-01,7.279053e-01
1.696460e+00,6.388550e-01,7.693481e-01
1.759292e+00,5.863647e-01,8.099976e-01
1.822124e+00,5.355835e-01,8.445435e-01
1.884956e+00,4.818115e-01,8.762817e-01
1.947787e+00,4.262085e-01,9.047241e-01
2.010619e+00,3.688965e-01,9.294434e-01
2.073451e+00,3.071899e-01,9.515381e-01
2.136283e+00,2.474365e-01,9.688721e-01
2.199115e+00,1.864624e-01,9.824829e-01
2.261947e+00,1.248779e-01,9.921265e-01
2.324779e+00,6.372070e-02,9.979858e-01
2.387610e+00,1.342773e-03,9.999390e-01
2.450442e+00,-6.365967e-02,9.979858e-01
2.513274e+00,-1.246948e-01,9.921265e-01
2.576106e+00,-1.864014e-01,9.824829e-01
2.638938e+00,-2.473755e-01,9.688721e-01
2.701770e+00,-3.110352e-01,9.504395e-01
2.764602e+00,-3.690796e-01,9.294434e-01
2.827433e+00,-4.265137e-01,9.047241e-01
2.890265e+00,-4.819946e-01,8.762817e-01
2.953097e+00,-5.358887e-01,8.445435e-01
3.015929e+00,-5.865479e-01,8.099976e-01
3.078761e+00,-6.386108e-01,7.693481e-01
3.141593e+00,-6.854858e-01,7.279053e-01
3.204425e+00,-7.279663e-01,6.856689e-01
3.267256e+00,-7.695313e-01,6.388550e-01
3.330088e+00,-8.097534e-01,5.864868e-01
3.392920e+00,-8.442383e-01,5.356445e-01
3.455752e+00,-8.760986e-01,4.818726e-01
3.518584e+00,-9.045410e-01,4.262695e-01
3.581416e+00,-9.293823e-01,3.689575e-01
3.644247e+00,-9.502563e-01,3.108521e-01
3.707079e+00,-9.689331e-01,2.474365e-01
3.769911e+00,-9.825439e-01,1.864624e-01
3.832743e+00,-9.923096e-01,1.248779e-01
3.895575e+00,-9.980469e-01,6.359863e-02
3.958407e+00,-9.999390e-01,-1.342773e-03
