angle,x,y
-3.141593e+00,0.000000e+00,0.000000e+00
-3.110177e+00,0.000000e+00,0.000000e+00
-3.078761e+00,0.000000e+00,0.000000e+00
-3.047345e+00,0.000000e+00,0.000000e+00
-3.015929e+00,0.000000e+00,0.000000e+00
-2.984513e+00,0.000000e+00,0.000000e+00
-2.953097e+00,0.000000e+00,0.000000e+00
-2.921681e+00,0.000000e+00,0.000000e+00
-2.890265e+00,0.000000e+00,0.000000e+00
-2.858849e+00,0.000000e+00,0.000000e+00
-2.827433e+00,0.000000e+00,0.000000e+00
-2.796017e+00,0.000000e+00,0.000000e+00
-2.764602e+00,9.995728e-01,1.220703e-03
-2.733186e+00,-9.995728e-01,-1.220703e-03
-2.701770e+00,-9.990234e-01,-3.247070e-02
-2.670354e+00,-9.976196e-01,-6.359863e-02
-2.638938e+00,-9.951172e-01,-9.381104e-02
-2.607522e+00,-9.917603e-01,-1.247559e-01
-2.576106e+00,-9.874268e-01,-1.556396e-01
-2.544690e+00,-9.821167e-01,-1.864014e-01
-2.513274e+00,-9.757080e-01,-2.169189e-01
-2.481858e+00,-9.685059e-01,-2.473145e-01
-2.450442e+00,-9.602661e-01,-2.773438e-01
-2.419026e+00,-9.500732e-01,-3.107910e-01
-2.387610e+00,-9.400635e-01,-3.397827e-01
-2.356194e+00,-9.290161e-01,-3.688965e-01
-2.324779e+00,-9.170532e-01,-3.977051e-01
-2.293363e+00,-9.042969e-01,-4.260864e-01
-2.261947e+00,-8.904419e-01,-4.541016e-01
-2.230531e+00,-8.758545e-01,-4.816284e-01
-2.199115e+00,-8.603516e-01,-5.087280e-01
-2.167699e+00,-8.441162e-01,-5.352783e-01
-2.136283e+00,-8.275146e-01,-5.606689e-01
-2.104867e+00,-8.096924e-01,-5.861816e-01
-2.073451e+00,-7.885132e-01,-6.143799e-01
-2.042035e+00,-7.689819e-01,-6.386719e-01
-2.010619e+00,-7.486572e-01,-6.622925e-01
-1.979203e+00,-7.276001e-01,-6.853638e-01
-1.947787e+00,-7.077637e-01,-7.059326e-01
-1.916372e+00,-6.853638e-01,-7.276001e-01
-1.884956e+00,-6.622925e-01,-7.486572e-01
-1.853540e+00,-6.386719e-01,-7.689819e-01
-1.822124e+00,-6.111450e-01,-7.910156e-01
-1.790708e+00,-5.861816e-01,-8.096924e-01
-1.759292e+00,-5.606689e-01,-8.275146e-01
-1.727876e+00,-5.352783e-01,-8.441162e-01
-1.696460e+00,-5.087280e-01,-8.603516e-01
-1.665044e+00,-4.816284e-01,-8.758545e-01
-1.633628e+00,-4.541016e-01,-8.904419e-01
-1.602212e+00,-4.260864e-01,-9.042969e-01
-1.570796e+00,-3.977051e-01,-9.170532e-01
-1.539380e+00,-3.688965e-01,-9.290161e-01
-1.507964e+00,-3.397827e-01,-9.400635e-01
-1.476549e+00,-3.071289e-01,-9.511719e-01
-1.445133e+00,-2.773438e-01,-9.602661e-01
-1.413717e+00,-2.473145e-01,-9.685059e-01
-1.382301e+00,-2.169189e-01,-9.757080e-01
-1.350885e+00,-1.864014e-01,-9.821167e-01
-1.319469e+00,-1.556396e-01,-9.874268e-01
-1.288053e+00,-1.247559e-01,-9.917603e-01
-1.256637e+00,-9.381104e-02,-9.951172e-01
-1.225221e+00,-6.359863e-02,-9.976196e-01
-1.193805e+00,-3.247070e-02,-9.990234e-01
-1.162389e+00,1.098633e-03,-9.995728e-01
-1.130973e+00,3.234863e-02,-9.990234e-01
-1.099557e+00,6.359863e-02,-9.976196e-01
-1.068142e+00,9.344482e-02,-9.950562e-01
-1.036726e+00,1.245117e-01,-9.916992e-01
-1.005310e+00,1.553955e-01,-9.873657e-01
-9.738937e-01,1.862793e-01,-9.820557e-01
-9.424778e-01,2.166748e-01,-9.757080e-01
-9.110619e-01,2.471924e-01,-9.685669e-01
-8.796459e-01,2.772217e-01,-9.603271e-01
-8.482300e-01,3.109131e-01,-9.501343e-01
-8.168141e-01,3.397217e-01,-9.400635e-01
-7.853982e-01,3.689575e-01,-9.290161e-01
-7.539822e-01,3.977661e-01,-9.170532e-01
-7.225663e-01,4.262695e-01,-9.042969e-01
-6.911504e-01,4.541626e-01,-8.904419e-01
-6.597345e-01,4.818115e-01,-8.758545e-01
-6.283185e-01,5.089111e-01,-8.603516e-01
-5.969026e-01,5.355835e-01,-8.441162e-01
-5.654867e-01,5.607300e-01,-8.275146e-01
-5.340708e-01,5.863647e-01,-8.096924e-01
-5.026548e-01,6.143188e-01,-7.885132e-01
-4.712389e-01,6.384888e-01,-7.689819e-01
-4.398230e-01,6.622314e-01,-7.486572e-01
-4.084070e-01,6.853027e-01,-7.276001e-01
-3.769911e-01,7.078247e-01,-7.059326e-01
-3.455752e-01,7.276611e-01,-6.853027e-01
-3.141593e-01,7.487183e-01,-6.623535e-01
-2.827433e-01,7.691650e-01,-6.387329e-01
-2.513274e-01,7.885132e-01,-6.143799e-01
-2.199115e-01,8.095093e-01,-5.861816e-01
-1.884956e-01,8.274536e-01,-5.606689e-01
-1.570796e-01,8.438110e-01,-5.352783e-01
-1.256637e-01,8.601685e-01,-5.087280e-01
-9.424778e-02,8.756714e-01,-4.816284e-01
-6.283185e-02,8.903809e-01,-4.541016e-01
-3.141593e-02,9.041138e-01,-4.261475e-01
-3.316791e-15,9.169922e-01,-3.977661e-01
3.141593e-02,9.289551e-01,-3.688354e-01
6.283185e-02,9.401245e-01,-3.397217e-01
9.424778e-02,9.499512e-01,-3.107910e-01
1.256637e-01,9.603882e-01,-2.773438e-01
1.570796e-01,9.686279e-01,-2.473755e-01
1.884956e-01,9.758911e-01,-2.168579e-01
2.199115e-01,9.821167e-01,-1.864014e-01
2.513274e-01,9.875488e-01,-1.556396e-01
2.827433e-01,9.918823e-01,-1.247559e-01
3.141593e-01,9.953613e-01,-9.381104e-02
3.455752e-01,9.976807e-01,-6.359863e-02
3.769911e-01,9.992065e-01,-3.247070e-02
4.084070e-01,9.995728e-01,1.220703e-03
4.398230e-01,9.990234e-01,3.247070e-02
4.712389e-01,9.976196e-01,6.359863e-02
5.026548e-01,9.951172e-01,9.381104e-02
5.340708e-01,9.917603e-01,1.247559e-01
5.654867e-01,9.874268e-01,1.556396e-01
5.969026e-01,9.821167e-01,1.864014e-01
6.283185e-01,9.757080e-01,2.169189e-01
6.597345e-01,9.685059e-01,2.473145e-01
6.911504e-01,9.602661e-01,2.773438e-01
7.225663e-01,9.500732e-01,3.107910e-01
7.539822e-01,9.400635e-01,3.397827e-01
7.853982e-01,9.290161e-01,3.688965e-01
8.168141e-01,9.170532e-01,3.977051e-01
8.482300e-01,9.042969e-01,4.260864e-01
8.796459e-01,8.904419e-01,4.541016e-01
9.110619e-01,8.758545e-01,4.816284e-01
9.424778e-01,8.603516e-01,5.087280e-01
9.738937e-01,8.441162e-01,5.352783e-01
1.005310e+00,8.275146e-01,5.606689e-01
1.036726e+00,8.096924e-01,5.861816e-01
1.068142e+00,7.885132e-01,6.143799e-01
1.099557e+00,7.689819e-01,6.386719e-01
1.130973e+00,7.486572e-01,6.622925e-01
1.162389e+00,7.276001e-01,6.853638e-01
1.193805e+00,7.077637e-01,7.059326e-01
1.225221e+00,6.853638e-01,7.276001e-01
1.256637e+00,6.622925e-01,7.486572e-01
1.288053e+00,6.386719e-01,7.689819e-01
1.319469e+00,6.111450e-01,7.910156e-01
1.350885e+00,5.861816e-01,8.096924e-01
1.382301e+00,5.606689e-01,8.275146e-01
1.413717e+00,5.352783e-01,8.441162e-01
1.445133e+00,5.087280e-01,8.603516e-01
1.476549e+00,4.816284e-01,8.758545e-01
1.507964e+00,4.541016e-01,8.904419e-01
1.539380e+00,4.260864e-01,9.042969e-01
1.570796e+00,3.977051e-01,9.170532e-01
1.602212e+00,3.688965e-01,9.290161e-01
1.633628e+00,3.397827e-01,9.400635e-01
1.665044e+00,3.071289e-01,9.511719e-01
1.696460e+00,2.773438e-01,9.602661e-01
1.727876e+00,2.473145e-01,9.685059e-01
1.759292e+00,2.169189e-01,9.757080e-01
1.790708e+00,1.864014e-01,9.821167e-01
1.822124e+00,1.556396e-01,9.874268e-01
1.853540e+00,1.247559e-01,9.917603e-01
1.884956e+00,9.381104e-02,9.951172e-01
1.916372e+00,6.359863e-02,9.976196e-01
1.947787e+00,3.247070e-02,9.990234e-01
1.979203e+00,1.220703e-03,9.995728e-01
2.010619e+00,-3.234863e-02,9.990234e-01
2.042035e+00,-6.359863e-02,9.976196e-01
2.073451e+00,-9.344482e-02,9.950562e-01
2.104867e+00,-1.245117e-01,9.916992e-01
2.136283e+00,-1.553955e-01,9.873657e-01
2.167699e+00,-1.862793e-01,9.820557e-01
2.199115e+00,-2.166748e-01,9.757080e-01
2.230531e+00,-2.471924e-01,9.685669e-01
2.261947e+00,-2.772217e-01,9.603271e-01
2.293363e+00,-3.109131e-01,9.501343e-01
2.324779e+00,-3.397217e-01,9.400635e-01
2.356194e+00,-3.689575e-01,9.290161e-01
2.387610e+00,-3.977661e-01,9.170532e-01
2.419026e+00,-4.262695e-01,9.042969e-01
2.450442e+00,-4.541626e-01,8.904419e-01
2.481858e+00,-4.818115e-01,8.758545e-01
2.513274e+00,-5.089111e-01,8.603516e-01
2.544690e+00,-5.355835e-01,8.441162e-01
2.576106e+00,-5.607300e-01,8.275146e-01
2.607522e+00,-5.863647e-01,8.096924e-01
2.638938e+00,-6.143188e-01,7.885132e-01
2.670354e+00,-6.384888e-01,7.689819e-01
2.701770e+00,-6.622314e-01,7.486572e-01
2.733186e+00,-6.853027e-01,7.276001e-01
2.764602e+00,-7.078247e-01,7.059326e-01
2.796017e+00,-7.276611e-01,6.853027e-01
2.827433e+00,-7.487183e-01,6.623535e-01
2.858849e+00,-7.691650e-01,6.387329e-01
2.890265e+00,-7.885132e-01,6.143799e-01
2.921681e+00,-8.095093e-01,5.861816e-01
2.953097e+00,-8.274536e-01,5.606689e-01
2.984513e+00,-8.438110e-01,5.352783e-01
3.015929e+00,-8.601685e-01,5.087280e-01
3.047345e+00,-8.756714e-01,4.816284e-01
3.078761e+00,-8.903809e-01,4.541016e-01
3.110177e+00,-9.041138e-01,4.261475e-01
3.141593e+00,-9.169922e-01,3.977661e-01
3.173009e+00,-9.289551e-01,3.688354e-01
3.204425e+00,-9.401245e-01,3.397217e-01
3.235840e+00,-9.499512e-01,3.107910e-01
3.267256e+00,-9.603882e-01,2.773438e-01
3.298672e+00,-9.686279e-01,2.473755e-01
3.330088e+00,-9.758911e-01,2.168579e-01
3.361504e+00,-9.821167e-01,1.864014e-01
3.392920e+00,-9.875488e-01,1.556396e-01
3.424336e+00,-9.918823e-01,1.247559e-01
3.455752e+00,-9.953613e-01,9.381104e-02
3.487168e+00,-9.976807e-01,6.359863e-02
3.518584e+00,-9.992065e-01,3.247070e-02
